# Z  symbol            a[0..4]                                  b[0..4]
 85  At  +4.96592250595070528e+00 +1.43815561507033696e+00 +3.71299200579298105e-01 +7.47256428450201061e-03 +1.14115284152585095e-07  +4.09129378787496290e+00 +6.29228996602551272e-01 +1.11096678695535203e-01 +5.77235010347761784e-03 +8.08511893879382498e-05
 86  Rn  +5.30615614475033226e+00 +1.11733160236072093e+00 +3.15858723110854278e-01 +7.20342242310210035e-03 +1.07355330545863504e-07  +3.48800735481655710e+00 +4.81190741149771173e-01 +1.01874467945753097e-01 +5.59245374417078733e-03 +7.79506673540736653e-05
 87  Fr  +4.52053399042335968e+00 +4.10695397909124615e+00 +7.13946878503728510e-01 +1.69294027687453899e-02 +8.57492129191724412e-05  +1.94482234232948805e+01 +1.89824673155996893e+00 +1.69553563595341794e-01 +1.14819567548934201e-02 +3.46122038257982696e-04
 88  Ra  +6.52401072001873317e+00 +3.20787080745661290e+00 +5.40478774349637647e-01 +8.78278806898853161e-03 +6.91010602949131540e-06  +1.40092554298974896e+01 +1.32635035961665304e+00 +1.31408568386036095e-01 +6.28647434520409557e-03 +2.27839981458951001e-04
 89  Ac  +6.89602853559619078e+00 +2.83514154536523222e+00 +5.03506881888815094e-01 +8.02294510966706891e-03 +9.20400954758739718e-08  +1.10763825670398699e+01 +1.17132616290503000e+00 +1.23494651391799895e-01 +5.73515595790497108e-03 +7.19707541802523242e-05
 90  Th  +7.09374900162630162e+00 +2.52912373903193988e+00 +4.82107819888889011e-01 +7.71936674145110979e-03 +7.27114199425041413e-08  +9.09473795165944665e+00 +1.06391667033161208e+00 +1.18619446621877900e-01 +5.53945708895034732e-03 +6.58494730528462702e-05
 91  Pa  +6.43401324797284158e+00 +2.97099970535788804e+00 +4.60796651787848011e-01 +7.24033125775455297e-03 +6.36236664309127857e-08  +1.02596851307297907e+01 +1.13177452306163295e+00 +1.12775935362382299e-01 +5.27459583353132120e-03 +6.19263824088759713e-05
 92   U  +6.21070826784019925e+00 +3.03934453825623496e+00 +4.37339984439162777e-01 +6.80714764147316576e-03 +6.18229327742851275e-08  +1.00214105859162803e+01 +1.10399880155883401e+00 +1.07218973162453907e-01 +5.02432130850682425e-03 +6.00506994197195788e-05
 93  Np  +6.00431598308986469e+00 +3.09431654531418010e+00 +4.12808487716416983e-01 +6.40891657880066860e-03 +6.73007376216075431e-08  +9.81793046719106144e+00 +1.06978705068029400e+00 +1.01635291448645804e-01 +4.79524846888725043e-03 +6.02806598726462900e-05
 94  Pu  +5.20061716810304198e+00 +3.49849440367143982e+00 +4.05414931131320322e-01 +6.22343700826529910e-03 +6.00859329543440850e-08  +1.12038310194406705e+01 +1.12846369546928194e+00 +9.89333472686131643e-02 +4.65917431977950700e-03 +5.72590638962334125e-05
 95  Am  +5.02533860036029090e+00 +3.51843988285154108e+00 +3.81950349446272208e-01 +5.82110208096211015e-03 +6.52609338829711917e-08  +1.09772190697628709e+01 +1.08477214832630797e+00 +9.36746874853835870e-02 +4.42682346873485635e-03 +5.73856837050511521e-05
 96  Cm  +5.34656100260619738e+00 +3.22468466560910816e+00 +3.49461752625445210e-01 +5.29251756748815114e-03 +6.15917630236237361e-08  +9.23118379752449414e+00 +9.72836229193835167e-01 +8.70596220966562279e-02 +4.13011964465032338e-03 +5.49463894449675724e-05
 97  Bk  +5.22582350334004708e+00 +3.22818873995295297e+00 +3.27098878823851413e-01 +4.88882575592239008e-03 +5.21272269419363319e-08  +9.07135706618718274e+00 +9.31124277456634841e-01 +8.20720602059845511e-02 +3.89029655993416599e-03 +5.10367976636641623e-05
 98  Cf  +4.58641247753547887e+00 +3.51869595665101187e+00 +3.19261714201205415e-01 +4.72979647985625768e-03 +5.51324480806204081e-08  +1.03186102092335208e+01 +9.57278837829232843e-01 +7.96807431443880693e-02 +3.77193199996848916e-03 +5.09750860376011081e-05
 99  Es  +4.45799480675412596e+00 +3.50867212637662318e+00 +3.01375380528315417e-01 +4.40763746214481878e-03 +4.88787903228591575e-08  +1.00890693383401295e+01 +9.19446447361622621e-01 +7.56419177786329250e-02 +3.57026465124809286e-03 +4.80495174395811323e-05
100  Fm  +4.33897576401170859e+00 +3.49185098896403412e+00 +2.81471099016286808e-01 +4.00209271499046143e-03 +5.52929808195513978e-08  +9.96330937223836166e+00 +8.78083956982974367e-01 +7.11637115768777584e-02 +3.32152404215077697e-03 +4.85103179460372771e-05
101  Md  +4.22729470403101182e+00 +3.47249227510661607e+00 +2.64822229496898598e-01 +3.69072877833192918e-03 +6.25871426200247314e-08  +9.72400602040031359e+00 +8.42873775960210403e-01 +6.73534743974851108e-02 +3.12364606263320797e-03 +4.91217097017619168e-05
