# Z  symbol            a[0..4]                                  b[0..4]
 84  Po  +3.89547043000000004e+00 +1.62270954000000001e+00 +5.94757360000000013e-01 +1.74659568000000015e-02 +9.67174402000000027e-05  +3.77140414999999996e+00 +9.81059585999999983e-01 +1.61289476999999987e-01 +1.24054445999999992e-02 +3.72945260000000006e-04
 85  At  +4.77269032999999965e+00 +1.38404809000000006e+00 +5.50464284999999998e-01 +1.62071119999999992e-02 +9.01889218000000034e-05  +4.06270673000000038e+00 +8.14919893000000006e-01 +1.52091967999999994e-01 +1.16070367999999997e-02 +3.62642164999999979e-04
 86  Rn  +5.12158828000000010e+00 +1.06531197000000000e+00 +5.33345175999999976e-01 +1.51712306999999998e-02 +8.33378996999999989e-05  +3.56476899000000014e+00 +6.94548912000000018e-01 +1.46829682999999989e-01 +1.08852572999999994e-02 +3.52396605000000014e-04
 87  Fr  +4.32630051000000027e+00 +3.92768598000000013e+00 +6.81708194000000045e-01 +1.57238802999999996e-02 +8.14354555999999963e-05  +1.59846423000000009e+01 +1.78501679000000002e+00 +1.63187471000000001e-01 +1.08893353000000005e-02 +3.44376777000000010e-04
 88  Ra  +6.20660602999999966e+00 +3.15857211000000015e+00 +5.76378806999999993e-01 +1.28760665999999996e-02 +6.69845337000000003e-05  +1.31220622000000002e+01 +1.35950704000000000e+00 +1.42527103999999988e-01 +9.31840253999999951e-03 +3.30700530000000012e-04
 89  Ac  +6.90479546999999982e+00 +2.79164097999999994e+00 +5.39448884000000017e-01 +1.15587564999999996e-02 +5.59098821000000005e-05  +1.09397730000000006e+01 +1.20516204999999998e+00 +1.34029306999999986e-01 +8.42499086000000029e-03 +3.17674300999999984e-04
 90  Th  +7.10860898999999957e+00 +2.46851822999999992e+00 +5.06864894999999982e-01 +1.04618582999999998e-02 +4.60320724999999973e-05  +8.93647228000000027e+00 +1.07493203000000004e+00 +1.26447042000000009e-01 +7.66806264999999980e-03 +3.04124335999999976e-04
 91  Pa  +6.26511899000000039e+00 +2.99788306999999987e+00 +4.87128791999999977e-01 +8.84405524999999984e-03 +2.50890803999999984e-05  +1.01398793000000005e+01 +1.17404313999999999e+00 +1.19307182999999997e-01 +6.47533905999999986e-03 +2.73513530000000019e-04
 92   U  +6.00297026999999961e+00 +3.06844561999999987e+00 +4.55578034999999992e-01 +7.50386891000000018e-03 +2.20172973999999991e-06  +9.82508641000000082e+00 +1.13551263000000002e+00 +1.11366624999999997e-01 +5.39853493999999969e-03 +1.62250254999999998e-04
 93  Np  +5.77624609999999983e+00 +3.13766994999999982e+00 +4.31120059000000000e-01 +6.96386096000000017e-03 +3.34263632000000010e-08  +9.62766610999999983e+00 +1.10543154000000010e+00 +1.05557523000000000e-01 +5.04608688999999989e-03 +4.94572478999999977e-05
